;ARIMA;POLYN. REGR.;LIN.REGR.(SCIKIT);RANSAC;GRAD. DESCENT
Pred. No. = 104;10.00017064 V;10.00017150 V;10.00017949 V;10.00017802 V;10.00017950 V
Pred. No. = 105;10.00017136 V;10.00017232 V;10.00018040 V;10.00017887 V;10.00018041 V
Pred. No. = 106;10.00017215 V;10.00017317 V;10.00018131 V;10.00017972 V;10.00018132 V
Pred. No. = 107;10.00017293 V;10.00017406 V;10.00018222 V;10.00018057 V;10.00018223 V
Pred. No. = 108;10.00017363 V;10.00017500 V;10.00018313 V;10.00018142 V;10.00018314 V
Pred. No. = 109;10.00017431 V;10.00017597 V;10.00018404 V;10.00018227 V;10.00018405 V
Pred. No. = 110;10.00017500 V;10.00017700 V;10.00018496 V;10.00018312 V;10.00018496 V
Pred. No. = 111;10.00017568 V;10.00017808 V;10.00018587 V;10.00018397 V;10.00018587 V
Pred. No. = 112;10.00017632 V;10.00017921 V;10.00018678 V;10.00018483 V;10.00018678 V
Pred. No. = 113;10.00017694 V;10.00018039 V;10.00018769 V;10.00018568 V;10.00018769 V
Pred. No. = 114;10.00017756 V;10.00018164 V;10.00018860 V;10.00018653 V;10.00018861 V
Pred. No. = 115;10.00017816 V;10.00018295 V;10.00018951 V;10.00018738 V;10.00018952 V
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
